# Time(ns) B(a.u.) 
-3207.49 2.36678e-05
-3206.26 -4.09867e-05
-3204.99 9.41797e-05
-3203.76 3.07449e-05
-3202.49 -6.23842e-05
-3201.26 -3.24128e-05
-3199.99 4.56568e-05
-3198.76 -4.90798e-05
-3197.49 -1.51914e-05
-3196.26 -0.000105475
-3194.99 -6.41764e-05
-3193.76 -4.81748e-05
-3192.49 3.45698e-05
-3191.26 -4.30192e-05
-3189.99 1.11397e-05
-3188.76 -3.90095e-05
-3187.49 -3.64596e-05
-3186.26 -0.00010213
-3184.99 -1.23458e-05
-3183.76 -4.18921e-05
-3182.49 -1.17914e-05
-3181.26 -4.44605e-05
-3179.99 -2.11598e-05
-3178.76 -0.000103664
-3177.49 -8.83496e-06
-3176.26 -8.20449e-05
-3174.99 2.77329e-05
-3173.76 -3.25792e-05
-3172.49 -1.79816e-05
-3171.26 -7.31015e-05
-3169.99 3.66763e-05
-3168.76 3.32024e-05
-3167.49 3.49209e-05
-3166.26 -2.08087e-05
-3164.99 2.0157e-05
-3163.76 -5.4143e-05
-3162.49 8.49409e-05
-3161.26 -3.96562e-05
-3159.99 7.94527e-05
-3158.76 2.352e-05
-3157.49 2.63471e-05
-3156.26 -8.85346e-06
-3154.99 0.000132078
-3153.76 6.15105e-05
-3152.49 0.000100665
-3151.26 2.6846e-05
-3149.99 4.74119e-05
-3148.76 -5.38471e-05
-3147.49 5.51544e-05
-3146.26 -2.8481e-06
-3144.99 8.28158e-05
-3143.76 9.23648e-06
-3142.49 5.72567e-06
-3141.26 -0.000111073
-3139.99 -2.86658e-06
-3138.76 1.30245e-05
-3137.49 6.54282e-05
-3136.26 3.11633e-07
-3134.99 4.41599e-05
-3133.76 1.58332e-05
-3132.49 9.63415e-05
-3131.26 1.32277e-05
-3129.99 -2.04206e-05
-3128.76 -5.74319e-05
-3127.49 3.54198e-05
-3126.26 -4.37214e-05
-3124.99 0.000105636
-3123.76 -6.72848e-06
-3122.49 2.20417e-05
-3121.26 -2.90868e-05
-3119.99 5.17135e-06
-3118.76 -0.000106177
-3117.49 4.52872e-05
-3116.26 -3.27455e-05
-3114.99 6.18989e-05
-3113.76 -9.85126e-06
-3112.49 -3.2302e-05
-3111.26 -0.000103479
-3109.99 4.14621e-05
-3108.76 -3.69809e-06
-3107.49 1.0118e-05
-3106.26 -3.54671e-05
-3104.99 2.77677e-05
-3103.76 -2.30466e-05
-3102.49 0.000100257
-3101.26 -2.91074e-05
-3099.99 -1.95173e-05
-3098.76 -0.000107971
-3097.49 -2.91628e-05
-3096.26 -9.09346e-05
-3094.99 1.34658e-05
-3093.76 6.96155e-06
-3092.49 -5.65287e-05
-3091.26 -3.97691e-05
-3089.99 1.00843e-05
-3088.76 -3.83833e-05
-3087.49 4.53216e-05
-3086.26 -4.85064e-07
-3084.99 3.13894e-05
-3083.76 -3.55377e-05
-3082.49 -2.82204e-05
-3081.26 -2.59107e-05
-3079.99 2.95183e-06
-3078.76 -7.34036e-06
-3077.49 3.10568e-05
-3076.26 -5.58632e-05
-3074.99 -1.61222e-06
-3073.76 -3.45029e-05
-3072.49 -5.47548e-05
-3071.26 -6.78926e-05
-3069.99 -5.95932e-07
-3068.76 -6.52504e-05
-3067.49 -6.26265e-05
-3066.26 -6.16839e-05
-3064.99 6.84745e-05
-3063.76 -8.06053e-05
-3062.49 -4.30531e-05
-3061.26 -0.000103518
-3059.99 -5.75079e-05
-3058.76 -0.0001001
-3057.49 -3.82724e-05
-3056.26 -0.000133637
-3054.99 -6.39011e-05
-3053.76 -0.00012316
-3052.49 -6.03168e-05
-3051.26 -9.73095e-05
-3049.99 1.7032e-05
-3048.76 -9.47013e-07
-3047.49 3.73762e-05
-3046.26 -5.29622e-05
-3044.99 -5.68612e-05
-3043.76 -4.04159e-05
-3042.49 2.81372e-05
-3041.26 -1.37522e-05
-3039.99 1.13778e-05
-3038.76 -4.59777e-05
-3037.49 1.65838e-06
-3036.26 -8.34138e-05
-3034.99 5.30641e-05
-3033.76 -2.49916e-06
-3032.49 1.54059e-05
-3031.26 2.8322e-05
-3029.99 2.28895e-05
-3028.76 8.21803e-06
-3027.49 2.92644e-05
-3026.26 8.79085e-06
-3024.99 4.02355e-06
-3023.76 -9.77944e-06
-3022.49 2.18547e-05
-3021.26 -9.33551e-05
-3019.99 3.36436e-05
-3018.76 1.10821e-05
-3017.49 4.98856e-05
-3016.26 -4.39082e-05
-3014.99 -4.14691e-05
-3013.76 -7.60597e-05
-3012.49 2.16884e-05
-3011.26 -3.75703e-05
-3009.99 -3.03084e-05
-3008.76 -7.50988e-05
-3007.49 -7.8351e-05
-3006.26 -0.000128759
-3004.99 8.01526e-05
-3003.76 -2.7315e-05
-3002.49 2.04504e-05
-3001.26 -5.73787e-05
-2999.99 1.141e-06
-2998.76 -7.05165e-05
-2997.49 4.98489e-05
-2996.26 -4.39636e-05
-2994.99 4.11457e-05
-2993.76 1.55538e-05
-2992.49 2.93013e-05
-2991.26 -5.59186e-05
-2989.99 3.1685e-05
-2988.76 6.4209e-07
-2987.49 -5.28934e-06
-2986.26 2.41275e-05
-2984.99 1.83439e-05
-2983.76 3.1685e-05
-2982.49 0.000121525
-2981.26 8.71371e-05
-2979.99 3.05393e-05
-2978.76 -1.31609e-05
-2977.49 3.55284e-05
-2976.26 1.44081e-05
-2974.99 0.000132556
-2973.76 5.16594e-05
-2972.49 9.08881e-05
-2971.26 2.26815e-06
-2969.99 5.0274e-05
-2968.76 -2.9611e-06
-2967.49 3.79305e-05
-2966.26 9.88706e-06
-2964.99 0.000120311
-2963.76 0.000119646
-2962.49 4.29625e-05
-2961.26 -2.59046e-05
-2959.99 5.08894e-05
-2958.76 1.12729e-05
-2957.49 5.92022e-05
-2956.26 -2.54266e-05
-2954.99 7.44463e-05
-2953.76 -4.84228e-06
-2952.49 6.68705e-05
-2951.26 3.47276e-06
